"URL","name_with_owner","language","stars","forks","num_topics","topics","size","created_at","type","archived","first_commit","first_workflow","first_run","commit_to_workflow","commit_to_run","last_commit","workflow_to_last","commit_to_last","avg_commits","total_commits","issues","prs","core_devs","non_core_devs","contributor_commits","avg_build_mins","commits_per_day","avg_days_broken_fix"
"https://api.github.com/repos/DraftBot-A-Discord-Adventure/DraftBot","DraftBot-A-Discord-Adventure/DraftBot","TypeScript",186,57,16,"{adventurer,bot,bot-discord,chatbot,chatbots,choice,discord,discord-adventure,discord-bot,draftbot,english,french,game,nodejs,player,yarn}",11888,"2018-12-21 15:01:32","Organization","false","2018-12-21 15:02:15","2022-10-06 06:19:08","2022-12-26 12:09:31","45.39","48.16","2023-10-25 22:51:48","12.65","58","109.47",3920,948,845,4,30,3722,"1.3","1.79","0"
"https://api.github.com/repos/yuzu-emu/yuzu","yuzu-emu/yuzu","C++",30222,2620,5,"{c-plus-plus,cpp,emulation,emulator,switch}",89646,"2018-01-03 18:13:57","Organization","false","2018-01-04 02:43:57","2021-10-16 10:06:03","2023-11-20 00:44:24","45.28","70.38","2023-11-12 01:02:23","24.88","70.12","61.02",25776,3293,6619,16,317,20319,"0.35","7.64","0"
"https://api.github.com/repos/SUI-Components/sui","SUI-Components/sui","JavaScript",154,30,9,"{frontend,frontend-tools,frontend-toolset,site--es-platform,sui,team--es-pt-web-platform,tier--2,vert--es-platform,vert--es-platforms}",49747,"2017-06-13 18:40:24","Organization","false","2017-06-13 19:11:52","2020-11-07 00:45:37","2023-10-31 12:27:10","40.71","76.53","2023-11-07 09:15:19","36.01","76.72","109.12",8454,138,1479,6,60,7202,"4.38","3.29","0"
"https://api.github.com/repos/learningequality/kolibri","learningequality/kolibri","Python",618,512,4,"{edtech,education,oer,offline-first}",133734,"2016-01-19 19:22:07","Organization","false","2016-01-19 19:22:07","2020-11-05 07:37:47","2023-11-16 22:23:17","57.41","93.8","2023-11-10 22:07:32","36.18","93.6","185.61",28930,4066,6751,16,133,27656,"0.3","7.46","0"
"https://api.github.com/repos/jens-maus/RaspberryMatic","jens-maus/RaspberryMatic","JavaScript",1307,169,20,"{buildroot,ccu,ccu3,docker,elv-charly,embedded-devices,esxi,home-automation,homeassistant,homematic,homematicip,iot,kubernetes,linux,operating-system,raspberrymatic,raspberrypi,smarthome,tinkerboard,virtual-appliance}",114835,"2016-06-22 13:33:04","User","false","2016-06-22 13:33:04","2019-12-20 09:58:55","2023-11-20 03:32:47","41.84","88.85","2023-11-12 19:47:28","46.63","88.61","131.64",5320,1531,370,1,35,4739,"2","2.16","0"
"https://api.github.com/repos/nextcloud/deck","nextcloud/deck","JavaScript",1049,243,7,"{cards,deck,hacktoberfest,nextcloud,organization,selfhosted,team}",62065,"2017-01-18 18:07:35","Organization","false","2017-01-18 18:08:49","2020-01-25 22:24:14","2023-11-18 02:11:14","36.24","81.87","2023-11-12 08:06:29","45.44","81.68","40.95",7109,1401,3266,3,125,5242,"3.07","3.1","0"
"https://api.github.com/repos/postmanlabs/postman-docs","postmanlabs/postman-docs","JavaScript",490,602,6,"{api,documentation,gatsbyjs,github-actions,jamstack,postman}",41187,"2016-02-16 11:03:54","Organization","false","2016-02-16 11:03:54","2019-12-21 01:38:32","2023-11-15 15:50:17","46.01","92.81","2023-11-07 23:18:12","46.45","92.56","97.21",18672,736,4352,7,180,18178,"1.47","9.19","0"
"https://api.github.com/repos/pingcap/docs","pingcap/docs","Python",527,597,3,"{hacktoberfest,tidb,tidb-documentation}",264994,"2016-07-23 02:39:04","Organization","false","2016-07-23 02:39:04","2021-11-11 18:33:56","2023-11-21 08:33:35","63.6","87.92","2023-11-10 08:23:12","23.78","87.56","18.14",5522,363,14536,10,287,5387,"2.4","3.04","0"
"https://api.github.com/repos/RetroAchievements/RAWeb","RetroAchievements/RAWeb","PHP",127,46,5,"{docker,laravel,php,retroachievements,tall-stack}",12495,"2018-02-12 13:37:42","Organization","false","2018-02-12 13:37:42","2022-03-27 08:48:36","2023-11-18 15:09:57","49.47","69.07","2023-11-12 19:12:01","19.44","68.88","79.11",2807,445,1225,4,31,2769,"1.65","2.04","0"
"https://api.github.com/repos/scrtlabs/SecretNetwork","scrtlabs/SecretNetwork","Rust",484,158,19,"{blockchain,computational-privacy,cosmos-hub,cosmos-sdk,enigma,nft,privacy,programmable-privacy,proof-of-stake,scrt,secret-contracts,secret-network,secret-nodes,sgx,sgx-enclave,tendermint,tendermint-consensus,tokens,wasm}",371398,"2020-01-29 11:02:01","Organization","false","2020-01-29 11:48:49","2022-11-08 23:49:29","2023-10-16 13:15:33","33.22","44.48","2023-11-09 14:00:21","12.02","45.24","117.45",6280,547,971,5,44,5755,"3.75","4.07","0"
