"name_with_owner","sha","author","date","verified","message","num_issues","commit_month","has_ci"
"relative-ci/bundle-stats","e1c81737bcc37ac15e5cd1c02f2b7ed2f87de94f","renovate-bot","2019-10-01 01:56:52","false","chore(deps): update dependency eslint to v6.5.1",9,19,0
"relative-ci/bundle-stats","75d4c4e79ece5de7b42a2e58f06fad56386e3d54","renovate-bot","2019-11-19 04:31:25","false","chore(deps): update dependency husky to v3.1.0",16,21,0
"relative-ci/bundle-stats","042bbb25192ec393ce90036d895952963a4c75d5","vio","2018-02-17 15:07:34","true","Merge pull request #6 from mas-o-menos/refactor-metrics

Refactor metrics",0,0,0
"relative-ci/bundle-stats","55cb25dbe76489f703a5dd955ba7cba51e17b437","vio","2021-07-17 10:37:01","true","Merge pull request #1452 from relative-ci/update-table-component

Update table component",24,41,0
"relative-ci/bundle-stats","65d5e92c34176104010d5236b2f5caede039935e","vio","2022-11-25 18:55:11","true","Merge pull request #2886 from relative-ci/update-docs

doc: Add packages + badges",16,57,1
"relative-ci/bundle-stats","2ce9c5409ca3041a53d61e8f306c877eeb0a4b54","vio","2019-06-07 16:52:26","true","Merge pull request #141 from bundle-stats/renovate/webpack-dev-server-3.x

chore(deps): update dependency webpack-dev-server to v3.7.1",7,16,0
"relative-ci/bundle-stats","a0fbea913272769b89d7b125f1d75d7e5c665234","vio","2020-02-27 17:04:13","false","v1.15.8",29,25,0
"relative-ci/bundle-stats","aa9765cff2abc334eeb7a07a8eec7e0619f954ec","vio","2021-08-17 19:01:26","false","chore: Update @relative-ci/agent",23,42,0
"relative-ci/bundle-stats","94fc08fac0ecc6c9288bee7f8b15045e6bafaabe","vio","2022-10-27 20:55:35","true","Merge pull request #2810 from relative-ci/fix-ui

fix ui",13,56,1
"relative-ci/bundle-stats","6a761303b4963ace1975cda7647b9cfee0c5b54a","vio","2019-05-05 16:36:19","true","Merge pull request #75 from relative-ci/update-dendencies

chore: Update dependencies",3,15,0
"relative-ci/bundle-stats","ce39dcf8a7e249e9de6d98b2727cf49f0f5a63e3","vio","2023-03-05 13:19:20","false","perf(utils): Modules - skip duplicated prop when false",13,61,1
"relative-ci/bundle-stats","c053b89d7b04f4265e8c3ca81d955f8c8ae05276","vio","2021-03-17 21:53:40","false","fix(ui): SummaryItem - correct loading state",31,37,0
"relative-ci/bundle-stats","4f29d3d47edc7f89858f0948d0cdc1e22ce5b157","vio","2022-03-09 21:05:22","false","fix(ui): App - consistent vertical spacing",21,49,1
"relative-ci/bundle-stats","76acc6234bb8830aa1dc8a07f29252349db0c3eb","vio","2021-02-27 18:11:59","false","feat(ui): BundleModules - filter by chunk",29,37,0
"relative-ci/bundle-stats","0dfd73bc96681c9e68c6579b626739224138d265","renovate-bot","2020-05-04 07:56:54","true","chore(deps): update dependency eslint-plugin-jest to v23.9.0",23,27,0
"relative-ci/bundle-stats","2fa5ea4b41bb9390a36306ec0fa00c3c113817e3","renovate-bot","2019-05-24 17:45:40","true","chore(deps): update dependency terser-webpack-plugin to v1.3.0",3,15,0
"relative-ci/bundle-stats","97a6b79435e9e0e3d68edef95d24e1f0dd53e4d7","renovate-bot","2019-06-18 00:12:56","false","chore(deps): update dependency webpack-dev-server to v3.7.2",7,16,0
"relative-ci/bundle-stats","7bb4fdbd842e1459100f1138f0ca839866358161","vio","2023-10-04 20:23:03","false","refactor(ui): MetricRunInfo - use metric skipDelta property",0,68,1
"relative-ci/bundle-stats","621db453c873349b6661aef7adf3155c4f397725","vio","2021-02-05 22:43:18","false","fix(ui): App router - use render with key",24,36,0
"relative-ci/bundle-stats","4357a7f67ea4fb0d1c88bcf1c28824ea49ab0921","vio","2019-11-04 21:18:36","false","fix(utils): createJob - keep meta data",19,21,0
"relative-ci/bundle-stats","0c331d2704382cd72d42363db539107fe22ed2ee","vio","2022-02-27 22:03:03","false","fix(ui): SearchParams - trigger filter change correctly",21,49,1
"relative-ci/bundle-stats","abd66ee239aae7fc2d0a6a2d41acbfd52207b8af","vio","2023-09-09 22:31:54","false","refactor(rollup-plugin): Save reports and baseline outside of the
bundler write hook",7,67,1
"relative-ci/bundle-stats","bfdaf062de6ea7e20e35a010ff87b18f8fd8a4b5","vio","2020-04-05 10:41:23","false","refactor: Extract Toolbar component",28,26,0
"relative-ci/bundle-stats","7c16d780f99fabd531803fa75cdd4f34dea1722a","vio","2021-02-20 13:57:06","false","feat(utils): ModulesPackagesDuplicate - order by size desc",33,36,0
"relative-ci/bundle-stats","cf9b0f3ab17e59794f3016b5d7e3c93cd8cdc848","vio","2019-03-24 08:51:02","false","build: Service static css files from lib/css",3,13,0
"relative-ci/bundle-stats","bf968b9578d0262b8d57674648e79bf0a394b36e","vio","2021-01-05 08:16:59","false","fix(ui): Grayscale - increase contrast",26,35,0
"relative-ci/bundle-stats","9469f545444aacf3569c264697e949f63fa6e9f5","vio","2023-03-12 16:45:23","false","build(ui): Add typescript css-modules support",12,61,1
"relative-ci/bundle-stats","980971c2578b0c56ef18ffbcdafef75e23105c1d","vio","2020-02-17 06:23:29","false","fix(ui): BundlePackages - get duplicate flag data from insights",27,24,0
"relative-ci/bundle-stats","d8784277a1156da9032d2e263993cc8d761d60de","vio","2019-03-29 20:48:15","false","build: Make colormap a dev dependency",3,14,0
"relative-ci/bundle-stats","905475c0b13c01c1f7a5b0b4960f3b4904554d43","vio","2023-01-20 17:46:32","true","Merge pull request #3032 from relative-ci/fix-delta-sort

fix(ui): BundleAssets/Modules/Packages - sort delta by abs value",17,59,1
"relative-ci/bundle-stats","4220258415a261d4f47d2cf5a4600a09a892f4f4","vio","2019-06-13 21:18:57","false","build: Fix css-loader options",7,16,0
"relative-ci/bundle-stats","37497ef5e9a48987b73cb0a170b44759829ae2cc","vio","2020-03-29 15:22:43","false",":package: release v2.1.1",27,26,0
"relative-ci/bundle-stats","cc51254e9b11e227f0885763bef842a6ce4d8cfe","vio","2021-11-22 18:20:12","false","build(ui): Storybook - use webpack5 builder",20,45,0
"relative-ci/bundle-stats","20d2d06898e37280168c3732b327c521525fae67","vio","2019-04-14 15:33:58","false","2.0.0",4,14,0
"relative-ci/bundle-stats","a7f2ad17c579070fb2799464155f01abab4db292","vio","2019-09-04 17:07:45","false","fix(ui): TableFilters - click on click outside",9,19,0
"relative-ci/bundle-stats","889753c0feb236130a2707fbc352310ef07c7740","vio","2021-12-23 19:02:50","false","fix(ui): Icon - center by default",19,46,0
"relative-ci/bundle-stats","69759bb1bd5200feac9fba7a02f35e0863df287c","vio","2020-01-31 17:59:46","false","fix(cli): Filter webpack source on read/write",21,23,0
"relative-ci/bundle-stats","77be9cba66e57f3a8811aaa2e706b8aeaae29863","renovate-bot","2020-02-29 15:37:11","true","Update dependency jest to v25",26,25,0
"relative-ci/bundle-stats","be6679cfab3b01959985c6847ee803fa60b0c57c","renovate-bot","2019-07-21 00:35:40","false","chore(deps): update dependency eslint-plugin-import to v2.18.2",8,17,0
"relative-ci/bundle-stats","8e18b375120d12246592865b16ea94123da26e63","renovate-bot","2020-04-30 11:51:15","true","chore(deps): update dependency lint-staged to v10.2.1",23,27,0
"relative-ci/bundle-stats","cf34a89e9db53f920207bf13610baaf2af52f0c4","renovate-bot","2019-08-18 05:59:03","false","chore(deps): update dependency preact to v8.5.2",11,18,0
"relative-ci/bundle-stats","7c30cebba5dbcc34a8161dc4ce96eb46884a503f","renovate-bot","2020-01-04 08:01:13","false","Update dependency eslint-plugin-jest to v23.3.0",15,23,0
"relative-ci/bundle-stats","97668a9245522e0ba4430677fb7b06c06821227d","renovate-bot","2019-08-21 06:51:52","false","Update dependency coveralls to v3.0.6",11,18,0
"relative-ci/bundle-stats","fe416dbb715964a937b0b36e65bde1b63e90000c","renovate-bot","2019-10-08 12:26:57","false","chore(deps): update dependency memory-fs to v0.5.0",9,20,0
"relative-ci/bundle-stats","71639396ab2ed5f23a71bc516618eb0c22aa3d85","renovate-bot","2020-01-21 22:03:46","false","chore(deps): update dependency husky to v4.2.0",15,23,0
"relative-ci/bundle-stats","ef5dfb84ef09e0bd1b78d8716a60b1801a18f1c4","renovate-bot","2019-09-03 13:45:38","false","fix(deps): update dependency @moonwalker/orbit-ui to v1.13.15",9,19,0
"relative-ci/bundle-stats","6f29bf6bf8ddaea5cce48a2a177c9199d059de52","renovate-bot","2020-03-25 18:17:06","true","chore(deps): update jest monorepo to v25.2.0",27,25,0
"relative-ci/bundle-stats","3066b23d8fbca38652ae4f39183f0b3d96eb8e9b","renovate-bot","2020-01-10 10:27:00","false","chore(deps): update dependency eslint-plugin-jest to v23.4.0",16,23,0
"relative-ci/bundle-stats","987c7cd6201049502d79c74800e3da792e9cd004","renovate-bot","2019-05-24 18:43:30","true","chore(deps): update dependency webpack-cli to v3.3.2",3,15,0
"relative-ci/bundle-stats","ba4eef615daf1d21bf28588905531423a625356e","renovate-bot","2019-07-25 16:45:55","false","chore(deps): update dependency @relative-ci/agent to v1.1.2",7,17,0
"relative-ci/bundle-stats","f56c85a0ac4cda02bc047edbc6b5afd0f11be2b1","vio","2018-02-18 21:30:31","false","feat(lighthouse): Add stats normalizer

Rel: #23",9,0,0
"relative-ci/bundle-stats","d010f6f65bd8ed8df543826c10c2340d508e3b0e","vio","2019-06-04 22:54:52","true","Merge pull request #133 from bundle-stats/renovate/webpack-4.x

chore(deps): update dependency webpack to v4.33.0",7,16,0
"relative-ci/bundle-stats","ba2c11c91e9275925a57b1112107c661a3b9fae0","vio","2020-04-07 13:49:57","false","fix(utils): Handle missing asset/module names",28,26,0
"relative-ci/bundle-stats","ad4ae9aa20e2b71970a90e441a9f628ab2e35c66","vio","2022-10-03 22:14:18","false","chore: Remove obsolete storyshot",14,56,1
"relative-ci/bundle-stats","208908e43c2e7ea95f3888d72c446d0740a1c9f5","vio","2021-01-03 13:26:51","false","fix(ui): JobHeader - layout fixes",26,35,0
"relative-ci/bundle-stats","c07f7f97360422808b3589145f537bceebcfaa8a","vio","2020-05-03 23:32:33","false","build: Run tests on node v10",23,27,0
"relative-ci/bundle-stats","a33a686cc025d289eba64db497c290445bd92dce","vio","2019-03-30 09:15:36","false","feat: Add default.css",3,14,0
"relative-ci/bundle-stats","c7623b44ebd3b85e9b71beb7e50004483df1dd63","vio","2021-05-16 10:47:22","true","Merge pull request #1445 from relative-ci/fixes

Fixes",22,39,0
"relative-ci/bundle-stats","a704986bdffddc85414fa59d50ea710960c9ca2e","vio","2018-09-24 19:35:24","false","build: Add dotenv support",8,7,0
"relative-ci/bundle-stats","6ef9c81dd3d9153d3be05c62be51d9a774b729fb","vio","2021-03-13 16:28:14","true","Merge pull request #1326 from relative-ci/fix-with-search

Improve filtering",34,37,0
"relative-ci/bundle-stats","20aaf4829c0c0a6ee9031dc840a1f41867bf4f51","vio","2019-07-05 07:08:16","false","fix(web-compare): Sources spacing and background",7,17,0
"relative-ci/bundle-stats","af0d4f1a452226b274e5b83ee854a66d8fe74f5c","vio","2023-04-12 20:24:10","false","refactor(ui): JobsHeader - convert to typescript and combine",12,62,1
"relative-ci/bundle-stats","11d6d693312f58ce5185df1cc77e96b583c48cc1","vio","2021-07-10 14:06:37","true","Merge pull request #1535 from relative-ci/setup-chromatic

build(ui): Setup chromatic",21,41,0
